Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Ensemble,1,75,14.56689,2.43483,0.12085,0.82505,3.29821,6,0.0,0.1
Snap Star (shot wrmp),1,75,14.79322,2.41297,0.12014,0.82234,3.17415,6,0.0,0.1
Snap Star (new wrmp),1,75,15.39158,2.45658,0.12087,0.81515,3.54718,6,0.0,0.1
Snap Ensemble,5,30,15.08441,2.58003,0.13183,0.81884,4.65137,7,0.1,0.1
Snap Star (shot wrmp),5,30,13.74379,2.48972,0.12617,0.83494,3.11261,8,0.1,0.1
Snap Star (new wrmp),5,30,14.75819,2.48974,0.12325,0.82276,3.67425,7,0.1,0.1
Snap Ensemble,5,30,14.16644,2.46298,0.12489,0.82986,3.10754,7,0.0,0.1
Snap Star (shot wrmp),5,30,14.37448,2.39166,0.11867,0.82737,2.50092,8,0.0,0.1
Snap Star (new wrmp),5,30,14.64728,2.41388,0.11873,0.82409,2.60267,7,0.0,0.1
Snap Ensemble,4,30,14.54862,2.56882,0.13329,0.82527,4.86124,5,0.1,0.1
Snap Star (shot wrmp),4,30,13.28792,2.43786,0.12216,0.84042,3.6595,6,0.1,0.1
Snap Star (new wrmp),4,30,15.23117,2.6092,0.1324,0.81708,5.0426,5,0.1,0.1
Snap Ensemble,4,30,12.21674,2.36743,0.12231,0.85328,2.88506,5,0.0,0.1
Snap Star (shot wrmp),4,30,11.87036,2.34598,0.12185,0.85744,2.74065,6,0.0,0.1
Snap Star (new wrmp),4,30,11.63983,2.32551,0.12146,0.86021,2.56028,5,0.0,0.1
Snap Ensemble,3,30,15.10767,2.57705,0.13319,0.81856,5.22989,4,0.1,0.1
Snap Star (shot wrmp),3,30,14.34954,2.47066,0.12591,0.82767,3.89162,5,0.1,0.1
Snap Star (new wrmp),3,30,13.85676,2.5734,0.13626,0.83358,5.27162,4,0.1,0.1
Snap Ensemble,3,30,14.40043,2.38049,0.11922,0.82705,3.08,4,0.0,0.1
Snap Star (shot wrmp),3,30,14.6319,2.41156,0.12001,0.82427,3.14508,5,0.0,0.1
Snap Star (new wrmp),3,30,14.72,2.38733,0.11893,0.82322,2.94997,4,0.0,0.1
Snap Ensemble,2,30,14.48112,2.59783,0.13648,0.82609,5.25083,3,0.1,0.1
Snap Star (shot wrmp),2,30,12.35974,2.37625,0.12049,0.85156,3.88676,4,0.1,0.1
Snap Star (new wrmp),2,30,13.81123,2.47777,0.12784,0.83413,4.94469,3,0.1,0.1
Snap Ensemble,2,30,14.49665,2.42265,0.1213,0.8259,3.42683,3,0.0,0.1
Snap Star (shot wrmp),2,30,13.96848,2.40351,0.1235,0.83224,3.12719,4,0.0,0.1
Snap Star (new wrmp),2,30,15.08342,2.47321,0.12527,0.81885,3.6489,3,0.0,0.1
Snap Ensemble,1,30,15.64029,2.59124,0.13624,0.81216,5.7139,2,0.1,0.1
Snap Star (shot wrmp),1,30,15.47029,2.54606,0.13198,0.81421,6.16763,2,0.1,0.1
Snap Star (new wrmp),1,30,16.35179,2.61369,0.13655,0.80362,6.83653,2,0.1,0.1
Snap Ensemble,1,30,14.64818,2.52729,0.12708,0.82408,3.61013,2,0.0,0.1
Snap Star (shot wrmp),1,30,14.5943,2.62709,0.13476,0.82473,4.24289,2,0.0,0.1
Snap Star (new wrmp),1,30,14.90792,2.68298,0.13627,0.82096,4.78943,2,0.0,0.1
Snap Ensemble,5,200,13.77327,2.46087,0.1257,0.83459,2.81287,43,0.1,0.1
Snap Star (shot wrmp),5,200,11.96276,2.30066,0.11549,0.85633,1.48856,52,0.1,0.1
Snap Star (new wrmp),5,200,12.71047,2.4067,0.12174,0.84735,2.27521,49,0.1,0.1
Snap Ensemble,5,200,13.22613,2.30713,0.11284,0.84116,1.66729,42,0.0,0.1
Snap Star (shot wrmp),5,200,12.11198,2.28467,0.11313,0.85454,1.51961,49,0.0,0.1
Snap Star (new wrmp),5,200,12.20976,2.27542,0.11196,0.85336,1.70861,47,0.0,0.1
Snap Ensemble,4,200,13.28153,2.46073,0.13124,0.84049,3.25061,38,0.1,0.1
Snap Star (shot wrmp),4,200,12.28888,2.33177,0.11574,0.85241,1.81105,45,0.1,0.1
Snap Star (new wrmp),4,200,12.21879,2.36076,0.11914,0.85326,2.55755,42,0.1,0.1
Snap Ensemble,4,200,11.51634,2.27995,0.11574,0.86169,1.60569,43,0.0,0.1
Snap Star (shot wrmp),4,200,11.5919,2.3495,0.11818,0.86078,1.57173,50,0.0,0.1
Snap Star (new wrmp),4,200,11.88866,2.35302,0.11904,0.85722,1.66162,47,0.0,0.1
Snap Ensemble,3,200,14.29906,2.51321,0.12983,0.82827,4.06637,32,0.1,0.1
Snap Star (shot wrmp),3,200,12.45014,2.34444,0.11609,0.85048,1.80215,38,0.1,0.1
Snap Star (new wrmp),3,200,11.17285,2.25242,0.11459,0.86582,2.21719,36,0.1,0.1
Snap Ensemble,3,200,12.74089,2.32651,0.11488,0.84698,1.71462,879,0.0,0.1
Snap Star (shot wrmp),3,200,12.88664,2.35173,0.11297,0.84523,1.90305,883,0.0,0.1
Snap Star (new wrmp),3,200,12.00738,2.31094,0.11413,0.85579,1.61603,881,0.0,0.1
Snap Ensemble,2,200,12.73928,2.43248,0.13083,0.847,2.9836,23,0.1,0.1
Snap Star (shot wrmp),2,200,10.93646,2.27685,0.11845,0.86866,2.09405,29,0.1,0.1
Snap Star (new wrmp),2,200,11.0655,2.27748,0.11978,0.86711,2.40402,26,0.1,0.1
Snap Ensemble,2,200,11.77851,2.29162,0.11426,0.85854,1.62494,21,0.0,0.1
Snap Star (shot wrmp),2,200,11.33393,2.28498,0.11378,0.86388,1.2389,24,0.0,0.1
Snap Star (new wrmp),2,200,10.59685,2.25397,0.1154,0.87273,1.40883,23,0.0,0.1
